#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
8.3%,500,1.0000000000000007,-80147.58926763263,11532.537109375,-68615.05215825763,238.93977566962337,59.058082833715524,0.9778436804828572,0,--
16.7%,1000,2.0000000000000013,-77731.65800963232,13079.2705078125,-64652.387501819816,270.98616127742997,58.483100187315095,0.987457451732486,200,0:04
25.0%,1500,2.999999999999891,-76297.01218729903,14096.64453125,-62200.36765604903,292.06488130466886,57.645069029601714,1.0018128879458268,217,0:03
33.3%,2000,3.999999999999781,-75606.89615669614,14324.9130859375,-61281.98307075864,296.79432086616146,57.81142399227047,0.99893012647644,226,0:03
41.7%,2500,4.999999999999671,-75379.74379964574,14549.34375,-60830.400049645745,301.44424412380147,57.549299842635605,1.00348002909321,233,0:02
50.0%,3000,5.999999999999561,-75159.14939932065,14395.833984375,-60763.31541494565,298.26371336862906,57.23760065948772,1.0089446869714176,230,0:02
58.3%,3500,6.999999999999451,-75318.91389329021,14657.927734375,-60660.98615891521,303.69396876130423,57.432494620909345,1.0055208895515582,233,0:01
66.7%,4000,7.999999999999341,-74875.79969489801,14350.87109375,-60524.928601148014,297.332138391024,57.12086517223669,1.0110066243963463,235,0:01
75.0%,4500,8.999999999999675,-74873.06493796711,14677.91015625,-60195.15478171711,304.1079796033996,57.337197144455054,1.0071921188419422,236,0:01
83.3%,5000,10.000000000000009,-75154.2581305384,14825.6640625,-60328.594068038394,307.16925613594907,57.457044268374545,1.0050912610582774,237,0:00
91.7%,5500,11.000000000000343,-75019.56992272835,14488.783203125,-60530.78671960335,300.18950517542385,57.542738031377,1.003594459632631,238,0:00
100.0%,6000,12.000000000000677,-74866.97230442823,14365.328125,-60501.64417942823,297.63167003535887,57.95607831735695,0.9964368666243371,240,0:00
